name,score
LittleBigPlanet PS Vita,Amazing
LittleBigPlanet PS Vita -- Marvel Super Hero Edition,Amazing
Splice: Tree of Life,Great
NHL 13,Great
NHL 13,Great
Total War Battles: Shogun,Good
Double Dragon: Neon,Awful
Guild Wars 2,Amazing
Double Dragon: Neon,Awful
Total War Battles: Shogun,Good
Tekken Tag Tournament 2,Good
Tekken Tag Tournament 2,Good
Wild Blood,Good
Mark of the Ninja,Amazing
Mark of the Ninja,Amazing
Home: A Unique Horror Adventure,Okay
Home: A Unique Horror Adventure,Okay
Avengers Initiative,Great
Way of the Samurai 4,Mediocre
JoJo's Bizarre Adventure HD,Good
JoJo's Bizarre Adventure HD,Good
Mass Effect 3: Leviathan,Good
Mass Effect 3: Leviathan,Good
Mass Effect 3: Leviathan,Good
Dark Souls (Prepare to Die Edition),Amazing
Symphony,Good
Bastion,Amazing
Tom Clancy's Ghost Recon Phantoms,Good
Thirty Flights of Loving,Great
Legasista,Okay
The Walking Dead: The Game -- Episode 3: Long Road Ahead,Amazing
World of Warcraft: Mists of Pandaria,Great
Hell Yeah! Wrath of the Dead Rabbit,Bad
Pokemon White Version 2,Amazing
War of the Roses,Good
Pokemon Black Version 2,Amazing
Drakerider,Okay
The Walking Dead: The Game -- Episode 3: Long Road Ahead,Amazing
The Walking Dead: The Game -- Episode 3: Long Road Ahead,Amazing
The Walking Dead: The Game -- Episode 3: Long Road Ahead,Amazing
Rock Band Blitz,Great
Counter-Strike: Global Offensive,Great
Worms Revolution,Great
Worms Revolution,Great
Worms Revolution,Great
Bad Piggies,Amazing
Resident Evil 6,Good
Resident Evil 6,Good
Shad'O,Good
Demon's Score,Okay
NBA 2K13,Amazing
Counter-Strike: Global Offensive,Great
The World Ends with You: Solo Remix,Amazing
Counter-Strike: Global Offensive,Great
The World Ends with You: Solo Remix,Amazing
Counter-Strike: Global Offensive,Great
Madden NFL 13,Okay
Madden NFL 13,Amazing
Madden NFL 13,Amazing
Hoodwink,Painful
NBA 2K13,Amazing
NBA 2K13,Amazing
Lili: Child of Geos,Good
Marvel vs. Capcom Origins,Great
Marvel vs. Capcom Origins,Great
Dead or Alive 5,Great
Dead or Alive 5,Great
Medal of Honor Warfighter,Bad
Professor Layton and the Miracle Mask,Great
Hotline Miami,Great
Edna & Harvey: Harvey's New Eyes,Okay
Medal of Honor Warfighter,Bad
Medal of Honor Warfighter,Bad
Transformers: Fall of Cybertron,Great
Transformers: Fall of Cybertron,Great
Hero Academy,Amazing
Hero Academy,Amazing
Puzzle Craft,Amazing
Realms Of Ancient War,Mediocre
Realms Of Ancient War,Mediocre
Anomaly: Warzone Earth,Great
Darksiders II,Good
Left 4 Dead 2: Cold Stream,Good
Left 4 Dead 2: Cold Stream,Good
Puzzle Craft,Amazing
Left 4 Dead 2: Cold Stream,Good
Horn,Amazing
Forza Horizon,Amazing
FIFA Soccer 13,Bad
Mugen Souls,Awful
Crazy Taxi,Good
New Little King's Story,Mediocre
Fable: The Journey,Good
The Lord of the Rings Online: Riders of Rohan,Great
Doom 3: BFG Edition,Good
Rugby League Live 2,Okay
Rugby League Live 2,Okay
Doom 3: BFG Edition,Good
Punch Quest,Amazing
He-Man: The Most Powerful Game in the Universe,Okay
Doom 3: BFG Edition,Good
Dokuro,Great
Naughty Bear: Panic in Paradise,Painful
Naughty Bear: Panic in Paradise,Painful
Borderlands 2: Captain Scarlett and her Pirate's Booty,Good
Skylanders Giants,Great
Borderlands 2: Captain Scarlett and her Pirate's Booty,Good
Rayman: Jungle Run,Great
FIFA Soccer 13,Amazing
FIFA Soccer 13,Amazing
Torchlight II,Amazing
FIFA Soccer 13,Amazing
The Sims 3: Supernatural,Bad
Retro/Grade,Good
Iron Brigade,Amazing
Cafeteria Nipponica,Okay
Sleeping Dogs,Great
Sleeping Dogs,Great
Darksiders II,Good
Papo & Yo,Bad
The Walking Dead: The Game -- Episode 4: Around Every Corner,Good
The Walking Dead: The Game -- Episode 4: Around Every Corner,Good
The Walking Dead: The Game -- Episode 4: Around Every Corner,Good
Cortex Command,Mediocre
The Walking Dead: The Game -- Episode 4: Around Every Corner,Good
Derrick the Deathfin,Good
The Walking Dead: The Game -- Episode 4: Around Every Corner,Good
XCOM: Enemy Unknown,Great
XCOM: Enemy Unknown,Great
Silent Hill: Book of Memories,Okay
Diaspora: Shattered Armistice,Good
Pocket Clothier,Okay
Pocket Clothier,Okay
Ravaged,Okay
True Skate,Okay
Zero Escape: Virtue's Last Reward,Amazing
Zero Escape: Virtue's Last Reward,Amazing
The Walking Dead: The Game -- Episode 3: Long Road Ahead,Amazing
Skylanders Giants,Great
Skylanders Giants,Great
Borderlands 2: Captain Scarlett and her Pirate's Booty,Good
Devil's Attorney,Great
Devil's Attorney,Great
Code of Princess,Okay
SunFlowers,Great
007 Legends,Bad
Super Hexagon,Amazing
Machinarium,Great
Final Fantasy Dimensions,Great
They Bleed Pixels,Great
Jet Set Radio,Good
Jet Set Radio,Good
Jet Set Radio,Good
Pro Evolution Soccer 2013,Great
F1 2012,Amazing
Darksiders II,Good
Pitfall,Good
Dust: An Elysian Tail,Great
Hybrid,Great
The Dark Knight Rises,Mediocre
10000000,Good
The Political Machine 2012,Okay
Sound Shapes,Amazing
Sound Shapes,Amazing
One Piece: Pirate Warriors,Okay
XCOM: Enemy Unknown,Great
Dishonored,Amazing
Dishonored,Amazing
Dishonored,Amazing
Angry Birds Trilogy,Good
Angry Birds Trilogy,Good
Angry Birds Trilogy,Good
Girls Like Robots,Great
Happy Wars,Bad
007 Legends,Bad
Funky Smugglers,Amazing
Colour Bind,Okay
WRC 3 FIA World Rally Championship,Mediocre
WRC 3 FIA World Rally Championship,Mediocre
Retro City Rampage,Mediocre
Retro City Rampage,Mediocre
Dance Central 3,Great
WRC 3 FIA World Rally Championship,Mediocre
Snapshot,Mediocre
F1 2012,Amazing
Pro Evolution Soccer 2013,Great
F1 2012,Amazing
Pro Evolution Soccer 2013,Great
Borderlands 2,Amazing
Borderlands 2,Amazing
Joe Danger: The Movie,Great
Borderlands 2,Amazing
Sound Shapes,Amazing
Persona 4 Arena,Amazing
Persona 4 Arena,Amazing
Hell Yeah! Wrath of the Dead Rabbit,Bad
Hell Yeah! Wrath of the Dead Rabbit,Bad
Retro City Rampage,Mediocre
The Unfinished Swan,Amazing
Tokyo Jungle,Great
Halo 4,Amazing
Halo 4 (Limited Edition),Amazing
Zone of the Enders HD Collection,Good
Harvest Moon: A New Beginning,Great
Zone of the Enders HD Collection,Good
Borderlands Legends,Okay
Borderlands Legends,Okay
Okami HD,Amazing
Ragnarok Odyssey,Mediocre
Need for Speed Most Wanted,Okay
Pid,Good
Pid,Good
Pid,Good
Need for Speed Most Wanted,Amazing
Assassin's Creed III,Great
Need for Speed Most Wanted,Amazing
Assassin's Creed III: Liberation,Good
Smart As...,Great
Assassin's Creed III,Great
Need for Speed Most Wanted,Amazing
WWE '13,Great
Street Fighter x Tekken,Okay
WWE '13,Great
Chivalry: Medieval Warfare,Good
Sonic Jump,Good
F1 Race Stars,Mediocre
Call of Duty: Black Ops II,Amazing
F1 Race Stars,Mediocre
Midway Arcade Origins,Mediocre
Midway Arcade Origins,Mediocre
Call of Duty: Black Ops II,Amazing
Call of Duty: Black Ops II,Amazing
When Vikings Attack,Okay
When Vikings Attack,Okay
"Freakyforms Deluxe: Your Creations, Alive!",Mediocre
Painkiller: Hell & Damnation,Mediocre
Transformers Prime,Great
Angry Birds Star Wars,Great
Farming Simulator 2013,Good
Paper Mario: Sticker Star,Great
Lucius,Okay
LittleBigPlanet Karting,Mediocre
Primal Carnage,Good
Natural Selection 2,Great
Symphonica: Grand Maestro,Okay
Football Manager 2013,Amazing
The Walking Dead: The Game -- Episode 5: No Time Left,Amazing
The Walking Dead: The Game -- Episode 5: No Time Left,Amazing
The Walking Dead: The Game -- Episode 5: No Time Left,Amazing
The Walking Dead: The Game -- Episode 5: No Time Left,Amazing
Football Manager 2013,Amazing
Need for Speed Most Wanted,Good
Orgarhythm,Bad
Sports Champions 2,Good
Kinect Party,Great
Sky Gamblers: Storm Raiders,Good
Oddworld: Stranger's Wrath HD,Good
AirBuccaneers,Good
Theatrhythm Final Fantasy,Great
Sing Party,Okay
Beatdown!,Okay
Waking Mars,Okay
Waking Mars,Okay
Hitman: Absolution,Amazing
Hitman: Absolution,Amazing
ZombiU,Okay
Grand Theft Auto: Vice City,Good
Street Fighter X Mega Man,Good
Sonic & All-Stars Racing Transformed,Good
Sonic & All-Stars Racing Transformed,Good
The Sims 3: Seasons,Good
Tank! Tank! Tank!,Mediocre
Guardians of Middle-earth,Good
Ratchet & Clank: Full Frontal Assault,Okay
Page Chronica,Bad
Hitman: Absolution,Amazing
Batman: Arkham City -- Armored Edition,Amazing
Disney Epic Mickey 2: The Power of Two,Okay
Disney Epic Mickey 2: The Power of Two,Okay
Darksiders II,Good
Scribblenauts Unlimited,Great
Call of Duty: Black Ops Declassified,Bad
Fallen Enchantress,Good
Guns of Icarus Online,Good
Miner Wars 2081,Mediocre
Guardians of Middle-earth,Good
The Elder Scrolls V: Skyrim -- Dragonborn,Great
Baldur's Gate -- Enhanced Edition,Okay
Black Knight Sword,Okay
Black Knight Sword,Okay
The Walking Dead: A Telltale Game Series -- Season One,Amazing
Sonic & All-Stars Racing Transformed,Great
New Super Mario Bros. U,Amazing
Sonic & All-Stars Racing Transformed,Great
Nintendo Land,Great
ARC Squadron,Good
Ninja Gaiden III: Razor's Edge,Good
The Walking Dead: A Telltale Game Series -- Season One,Amazing
The Walking Dead -- Game of the Year Edition,Amazing
The Walking Dead: A Telltale Game Series -- Season One,Amazing
Real Boxing,Good
Baldur's Gate -- Enhanced Edition,Great
Crashmo,Amazing
PlanetSide 2,Amazing
Disney Epic Mickey 2: The Power of Two,Okay
The Walking Dead: A Telltale Game Series -- Season One,Amazing
The Walking Dead: A Telltale Game Series -- Season One,Amazing
Strike Suit Zero,Good
Final Fantasy: All The Bravest,Painful
Tokyo Crash Mobs,Good
Ni no Kuni: Wrath of the White Witch,Amazing
Marvel's The Avengers: Battle For Earth,Mediocre
Borderlands 2: Sir Hammerlock's Big Game Hunt,Okay
Assassin's Creed III,Great
Chasing Aurora,Okay
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?,Great
Madden NFL 13,Great
Warriors Orochi 3 Hyper,Good
Transformers Prime,Good
Skylanders Battlegrounds,Okay
Rage of the Gladiator,Good
FIFA Soccer 13,Okay
Family Guy: Back to the Multiverse,Okay
Family Guy: Back to the Multiverse,Okay
Little Inferno,Mediocre
Little Inferno,Mediocre
The Walking Dead -- Game of the Year Edition,Amazing
The Walking Dead -- Game of the Year Edition,Amazing
The Walking Dead: A Telltale Game Series -- Season One,Amazing
Minigore 2: Zombies,Amazing
Jet Set Radio,Mediocre
Forge,Good
Nancy Drew: The Deadly Device,Okay
Into the Dead,Good
Just Dance 4,Mediocre
Borderlands 2: Sir Hammerlock's Big Game Hunt,Okay
Borderlands 2: Sir Hammerlock's Big Game Hunt,Okay
DmC: Devil May Cry,Great
Unchained Blades,Great
DmC: Devil May Cry,Great
The Earth Defense Force 2017 Portable,Good
007 Legends,Bad
Wraithborne,Mediocre
Persona 4 Golden,Amazing
Call of Duty: Black Ops II,Amazing
Rabbids Land,Mediocre
Tekken Tag Tournament 2: Wii U Edition,Good
Far Cry 3,Amazing
Madden NFL 13,Great
Far Cry 3,Amazing
Little Inferno,Mediocre
Little Inferno,Mediocre
Little Inferno,Mediocre
Little Inferno,Mediocre
Little Chomp,Great
Trine 2: Director's Cut,Amazing
LEGO The Lord of the Rings [Portable],Awful
LEGO The Lord of the Rings [Portable],Awful
LEGO The Lord of the Rings,Okay
Writer Rumble,Great
Mass Effect,Amazing
Guilty Gear XX Accent Core Plus,Great
Guilty Gear XX Accent Core Plus,Great
Uncharted: Fight For Fortune,Good
Modern Combat 4: Zero Hour,Good
Wonderbook: Book  of Spells,Okay
Rift: Storm Legion,Great
Joe Danger,Amazing
DmC: Devil May Cry,Great
Anarchy Reigns,Mediocre
Anarchy Reigns,Mediocre
Kentucky Route Zero: Act 1,Great
Primordia,Okay
Mutant Mudds,Amazing
Far Cry 3,Amazing
Mass Effect 3 (Special Edition),Amazing
Nano Assault Neo,Amazing
Disney Epic Mickey: Power of Illusion,Good
Assassin's Creed III,Great
Borderlands 2: Mr. Torgue's Campaign of Carnage,Amazing
Scribblenauts Unlimited,Great
Borderlands 2: Mr. Torgue's Campaign of Carnage,Amazing
PlayStation All-Stars Battle Royale,Great
Jetpack Joyride,Good
LEGO The Lord of the Rings,Okay
The Walking Dead: Assault,Good
Miasmata,Good
Bladeslinger: Episode 1,Good
Funky Barn,Mediocre
ESPN Sports Connection,Awful
Sonic & All-Stars Racing Transformed,Great
Infestation: Survivor Stories,Awful
Labyrinth Legends,Good
Ace of Spades,Mediocre
Monsters Inc. Run,Good
Pudding Monsters,Good
Borderlands 2: Mr. Torgue's Campaign of Carnage,Amazing
PlayStation All-Stars Battle Royale,Great
NBA 2K13,Amazing
The Walking Dead: The Game -- Episode 5: No Time Left,Amazing
NFL Quarterback Club '97,Mediocre
Namco Museum Vol. 2,Okay
Raven Project,Awful
Silverload,Okay
Return Fire,Good
Rise 2: Resurrection,Painful
Robo Pit,Okay
NBA ShootOut,Okay
Beyond The Beyond,Bad
Crash Bandicoot,Good
Bust-A-Move 2: Arcade Edition,Great
CyberSpeed,Mediocre
D,Good
Assault Rigs,Okay
ESPN Extreme Games,Mediocre
Doom (1993),Good
Bottom of the 9th,Great
Adidas Power Soccer,Good
Agile Warrior F-111X,Painful
Alien Trilogy,Great
Alone in the Dark: One Eyed Jack's Revenge,Okay
Fade to Black,Good
Die Hard Trilogy,Good
Discworld,Good
Battle Arena Toshinden 2,Okay
A-Train,Okay
Casper -- A Haunting 3D Challenge,Bad
Bogey Dead 6,Okay
Namco Museum Vol. 1,Great
Road & Track Presents: The Need for Speed,Good
Romance of the Three Kingdoms IV: Wall of Fire,Okay
PGA Tour '96,Good
Rayman,Good
Raiden Project,Okay
Andretti Racing,Great
Discworld,Good
Die Hard Trilogy,Good
Gunship,Awful
Olympic Summer Games: Atlanta '96,Okay
Revolution X,Unbearable
Shockwave Assault,Bad
HardBall 5,Bad
Twisted Metal [1996],Good
WipEout XL,Amazing
WipEout,Great
Tobal No. 1,Great
Star Gladiator Episode 1: Final Crusade,Great
Starfighter,Good
Battle Arena Toshinden,Good
Destruction Derby,Good
Aquanaut's Holiday,Great
Creature Shock (Special Edition),Painful
Air Combat,Good
Descent,Good
Cyber Sled,Mediocre
DEFCON 5,Good
The King of Fighters '95,Mediocre
Jumping Flash! 2,Great
Epidemic,Bad
Philosoma,Mediocre
NBA In the Zone,Mediocre
Magic Carpet,Good
Power Serve 3D Tennis,Painful
Resident Evil [1996],Great
NCAA GameBreaker,Okay
Project: Horned Owl,Okay
Frank Thomas: Big Hurt Baseball,Okay
Goal Storm,Good
In the Hunt,Awful
International Track & Field,Good
Novastorm,Painful
PO'ed,Great
NBA Jam: Tournament Edition,Okay
WWF Wrestlemania: The Arcade Game,Good
Williams Arcade's Greatest Hits,Good
Tetris Plus,Okay
Slam 'n Jam '96: Featuring Magic and Kareem,Mediocre
V-Tennis,Bad
Tokyo Highway Battle,Good
Zero Divide,Mediocre
X-COM: UFO Defense,Amazing
Darkstalkers: The Night Warriors,Okay
FIFA Soccer '96,Good
Mortal Kombat Trilogy,Bad
Wave Race 64,Amazing
Battle Arena Toshinden Remix,Mediocre
Cruis'n USA,Bad
Batman Forever: The Arcade Game,Mediocre
Pilotwings 64,Great
Road Rash,Mediocre
Ridge Racer [1995],Good
Shellshock,Good
SimCity 2000,Good
Street Fighter Alpha: Warriors' Dreams,Good
The Hive,Awful
Loaded,Good
Revolution X,Unbearable
Olympic Summer Games: Atlanta '96,Okay
NBA Live '96,Good
Psychic Detective,Painful
NHL FaceOff,Amazing
NFL GameDay,Great
Kileak: The DNA Imperative,Awful
Raven Project,Awful
Silverload,Okay
Formula 1,Great
Worms,Great
Zoop,Mediocre
Space Griffon,Painful
Tekken 2,Amazing
Warhawk,Great
Rayman,Good
Romance of the Three Kingdoms IV: Wall of Fire,Okay
Advanced Dungeons & Dragons: Iron & Blood -- Warriors of Ravenloft,Bad
Super Mario 64,Amazing
Baku Baku,Good
The Walking Dead: The Game -- Episode 1: A New Day,Great
Olympic Soccer,Okay
Off-World Interceptor Extreme,Bad
Gex,Okay
Skeleton Warriors,Mediocre
Johnny Bazookatone,Mediocre
PGA Tour '96,Good
Namco Museum Vol. 1,Great
Road & Track Presents: The Need for Speed,Good
Mario Kart 64,Great
Rally Cross,Good
Spider,Okay
Grid Runner,Okay
Virtual Pool,Good
Pro-Pinball,Great
Deception: Invitation to Darkness,Good
Peak Performance,Good
Independence Day,Painful
Buster Bros. Collection,Okay
Re-Loaded: The Hardcore Sequel,Bad
Destruction Derby 2,Good
Blood Omen: Legacy of Kain,Great
Tunnel B-1,Okay
Doom 64,Good
NHL FaceOff '97,Great
Super Puzzle Fighter II Turbo,Amazing
NBA Hang Time,Mediocre
Suikoden,Amazing
Battle Stations,Okay
Nanotek Warrior,Great
Rush Hour,Okay
BRAHMA Force: The Assault On Beltlogger 9,Good
Vandal Hearts,Great
MechWarrior 2,Great
VR Baseball '97,Good
Need for Speed II,Okay
Samurai Shodown III: Blades of Blood,Okay
Mortal Kombat Trilogy,Okay
Pitball,Mediocre
MLB Pennant Race,Mediocre
Tempest X3: An Inter-Galactic Battle Zone,Great
Project Overkill,Mediocre
Crusader: No Remorse,Good
VR Golf '97,Great
Iron Man / XO Manowar in Heavy Metal,Awful
Disruptor,Great
Final Doom,Good
Twisted Metal 2,Good
NFL GameDay 97,Good
Jet Moto,Great
FIFA Soccer 64,Bad
Command & Conquer (1997),Great
Mega Man 8,Okay
Big Bass World Championship,Okay
Blast Corps,Amazing
NBA Live '97,Great
NBA ShootOut '97,Amazing
Turok: Dinosaur Hunter,Great
The Crow: City of Angels,Unbearable
Star Wars: Dark Forces,Mediocre
Tomb Raider -- Featuring Lara Croft,Amazing
Pandemonium,Okay
Cool Boarders,Good
NBA In the Zone 2,Amazing
Street Fighter Alpha 2,Great
TNN Motorsports Hardcore 4X4,Bad
Black Dawn,Good
Namco Museum Vol. 3,Okay
Crypt Killer,Bad
Carnage Heart,Amazing
